"TIME","Country.Name","LOCATION","MEATCONSUMP.Beef.Kg.","MEATCONSUMP.Pig.Kg.","MEATCONSUMP.Sheep.Kg.","MEATCONSUMP.Poultry.Kg.","CROP.TYPE.Soybean.Thnd.Ha.","CROP.TYPE.Wheat.Thnd.Ha.","CROP.TYPE.Maize.Thnd.Ha.","CROP.TYPE.Rice.Thnd.Ha.","TSE....GDP.","AGRPNPC..ratio.","Region","Income.Group","CO2 emissions (metric tons per capita)","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","GDP per capita (current US$)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Methane emissions (kt of CO2 equivalent)","Population, total"
1990,"","OECD",15.357,21.185,2.244,17.268,24784.482,86961.279,44000.413,5623.217,1.5952562957,1.349857342,"","",NA,NA,NA,NA,NA,NA,NA,NA
1990,"","BRICS",2.436,7.919,0.327,1.133,10291.798,82207.9,45441.8,80188.51,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA
1990,"Argentina","ARG",55.559,3.674,2.282,8.66,4750,5817,1900,117,NA,NA,"Latin America & Caribbean","Upper middle income",3.06082581963544,NA,NA,4333.48337196658,75.119,68.138,105850,32618648
1990,"Australia","AUS",0,0,19.013,22.051,39.88,9218.1,48.5,89,0.5071736896,1.0771410884,"East Asia & Pacific","High income",15.4467304615853,NA,NA,18211.5000581403,80.16,73.98,156040,17065100
1990,"Brazil","BRA",20.868,5.562,0.676,12.513,9616.648,2145.9,13451.4,4180,NA,NA,"Latin America & Caribbean","Upper middle income",1.33057522748249,NA,NA,3100.28042681627,69.823,63.066,285240,149003225
1990,"Canada","CAN",25.002,20.597,0.734,24.42,483.6,14097.5,1029.8,0,1.3782165891,1.3303292503,"North America","High income",15.1355281967827,NA,NA,21448.8467711005,80.7,74.3,86830,27691138
1990,"Chile","CHL",12.969,7.166,0.814,7.83,0,583,100,33,NA,NA,"Latin America & Caribbean","High income",2.29083822154718,NA,NA,2494.5267963643,76.538,70.386,12220,13274617
1990,"China","CHN",0.639,14.959,0,0,0,30753,21401,33031,NA,NA,"East Asia & Pacific","Upper middle income",1.91454256354691,NA,NA,317.884673040928,71.004,67.446,730340,1135185000
1990,"Colombia","COL",15.011,3.047,0.313,7.666,0,57,837,501,NA,NA,"Latin America & Caribbean","Upper middle income",1.47601837186715,NA,NA,1445.32863023383,73.579,66.036,57300,33102569
1990,"Egypt, Arab Rep.","EGY",4.907,0.033,1.259,4.17,0,821,830,435,NA,NA,"Middle East & North Africa","Lower middle income",1.54664304529562,NA,NA,765.642005459646,66.982,62.233,24980,56134478
1990,"Ethiopia","ETH",0,0,0,0,0,0,0,0,NA,NA,"Sub-Saharan Africa","Low income",0.0482376912864604,NA,NA,254.243262202821,48.651,45.616,40680,47887864
1990,"India","IND",1.65,0.37,0.61,0.396,0,23502,5904,42690,NA,NA,"South Asia","Lower middle income",0.644102026461799,NA,NA,367.55660889031,58.226,57.536,522740,873277799
1990,"Indonesia","IDN",1.18,2.351,0.438,2.468,0,0,2909,10502,NA,NA,"East Asia & Pacific","Lower middle income",0.81576113799489,NA,NA,585.076562851392,63.727,60.941,298410,181413398
1990,"Iran, Islamic Rep.","IRN",4.302,0,5.517,6.186,0,6278,30,524,NA,NA,"Middle East & North Africa","Lower middle income",3.17991920407921,NA,NA,2214.32768847807,66.259,61.654,62240,56366212
1990,"Israel","ISR",9.966,1.59,1.173,34.269,0,91,7,0,NA,NA,"Middle East & North Africa","High income",7.25321888412017,NA,NA,NA,78.4,74.9,8350,4660000
1990,"Japan","JPN",6,12.98,0.743,12.612,145.9,260.4,0.317,2074,1.5152910823,1.773777365,"East Asia & Pacific","High income",8.84821587651242,NA,NA,25371.4641705246,81.91,75.91,37850,123478000
1990,"Kazakhstan","KAZ",0,0,0,0,0,0,0,0,NA,NA,"Europe & Central Asia","Upper middle income",14.5320528505016,NA,NA,1647.46324337761,73.1,63.8,52970,16348000
1990,"Korea, Rep.","KOR",0,0,0.196,5.567,152.265,0.294,25.987,1244.341,7.0321015328,2.7248946396,"East Asia & Pacific","High income",5.81418634876632,NA,NA,6610.0365083067,75.9,67.5,29170,42869283
1990,"Malaysia","MYS",2.584,10.059,0.371,18.812,0,0,20,681,NA,NA,"East Asia & Pacific","Upper middle income",3.11650296752758,NA,NA,2441.74199054895,72.858,69.017,27250,18029824
1990,"Mexico","MEX",7.384,7.339,0.469,8.89,286,933,7339,75,NA,NA,"Latin America & Caribbean","Upper middle income",3.18906364409668,NA,NA,3112.26859475697,73.83,67.951,86800,83943135
1990,"New Zealand","NZL",26.072,10.972,27.826,14.58,0,37.527,19.046,0,0.3732360501,1.0074951362,"East Asia & Pacific","High income",6.70010210823473,NA,NA,13662.586148842,78.4,72.5,32830,3329800
1990,"Nigeria","NGA",1.501,0.875,1.521,1.608,0,60,5104,1208,NA,NA,"Sub-Saharan Africa","Lower middle income",0.712616859975062,NA,NA,567.528649015722,47.191,44.671,113180,95212454
1990,"Norway","NOR",12.641,15.388,4.829,4.161,0,48,0,0,3.2034454523,4.0311381223,"Europe & Central Asia","High income",6.88440077303333,NA,NA,28242.7557452602,79.8,73.43,5850,4241473
1990,"Pakistan","PAK",4.334,0,3.955,1.313,0,7845,845,2113,NA,NA,"South Asia","Lower middle income",0.567126621064794,NA,NA,371.678567628755,60.856,59.472,70350,107647918
